,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
1,AGG ASSAULT/USE DEADLY WEAPON,1239,,,0
2,AGG UUW/VEHICLE/LOADED/NO FCCA,880,level_4,FOID no CCL,1
3,AGG UUW/LOADED-NO FCCA-FOID,734,level_4,No FOID or CCL,1
4,UUW - WEAPON - CARRY/POSSESS F,734,level_2_or_3,,1
5,"UUW - WEAPON - FELON, POSSESS/",713,level_2_or_3,,1
6,ANNUAL GUN OFFENDER REGISTRATI,691,,,0
7,ARMED HABITUAL CRIMINAL,660,level_x,,1
8,FELON POSSESS WEAPON,516,level_2_or_3,,1
9,UUW -  WEAPON - PUBLIC STREET/,459,level_4,Unclear,1
10,POSS FIREARM REPEAT FEL OFFEN,377,level_x,,1
11,UUW - WEAPON - FELON POSSES WE,326,level_2_or_3,,1
12,AGG UUW/VEHICLE/NO FOID,257,level_4,No FOID or CCL,1
13,AGG UUW/PERSON/<21,232,level_4,No FOID or CCL,1
14,AGG UUW/PERSON/LOADED/NO FCCA,206,level_4,FOID no CCL,1
15,AGG UUW/PERS/LOAD/NO FCCA/FOID,203,level_4,No FOID or CCL,1
16,AGG UUW/VEH/FIR LOADED/NO FOID,184,level_4,No FOID or CCL,1
17,AGG UUW/PERSON/LOADED FIREARM,160,level_4,Unclear,1
18,UUW - WEAPON - MACHINE GUN/AUT,158,level_4,Unclear,1
19,GUN OFFENDER DUTY TO REGISTER,152,,,0
20,AGG UUW/LOADED/NO FCCA/FOID,144,level_4,No FOID or CCL,1
21,AGG UUW/VEHICLE/<21,141,level_4,No FOID or CCL,1
22,UUW - WEAPON - FELON POSS/USE,136,level_2_or_3,,1
23,FELON POSS/USE WEAPON/FIREARM,127,level_2_or_3,,1
24,POSS FIREARM W/DEFACED SERIAL,124,level_4,Unclear,1
25,AGG BATTERY/USE DEADLY WEAPON,118,,,0
26,UUW -  WEAPON - MACHINE GUN /A,118,level_4,Unclear,1
27,UUW -  WEAPON - AGG./VEH. OR C,116,level_4,Unclear,1
28,UUW - WEAPON - FELON/PAROLE-PO,112,level_2_or_3,,1
29,POSSESS REVOKED FIREARM FOID,111,,,0
30,AGG ASLT/USE DDLY WEAPON,103,,,0
31,UUW -  WEAPON - POSSESS/CARRY,93,level_4,Unclear,1
32,AGG UUW/PERSON/NO FOID,91,level_4,No FOID or CCL,1
33,AGG UUW/UNLOADED/NO FCCA/FOID,85,level_4,No FOID or CCL,1
34,CARRY/POSSESS FIREARM/1ST,84,level_4,Unclear,0
35,POSSESSION OF A STOLEN FIREARM,80,level_2_or_3,,1
36,AGG UNLAWFUL USE OF WEAPON/VEH,69,level_4,Unclear,1
37,GUN OFFENDER DUTY TO REPORT,69,,,0
38,FELON POSSESS WEAPON/2ND+,62,level_2_or_3,,1
39,ARMED VIOLENCE/CATEGORY I,58,,,0
40,UUW -  WEAPON - CARRY W/ INTEN,55,level_4,Unclear,1
41,AGG UUW/VEH/PREV CONVICTION,52,level_2_or_3,,1
42,UUW - UNLAWFUL POSSESS HANDGUN,48,level_4,Unclear,1
43,AGG UUW/ON PERSON,45,level_4,Unclear,1
44,POSS FIREARM W/ DEFACED SER NO,43,level_4,Unclear,1
45,UUW - WEAPON - RIFLE<16IN - SH,43,level_4,Unclear,1
46,AGG UPW/PERSON/LOADED/NO FOID,40,level_4,No FOID or CCL,1
47,FELON POSS WEAPON/PAROLE,40,level_2_or_3,,1
48,CARRY/POSSES FIREARM IN PUBLIC,35,level_4,,1
49,UUW - AGG UUW/PERSON/VEHICLE/P,32,level_4,,1
50,AGG UPW/PERS/PREV CONVICTION,31,level_2_or_3,,1
51,FELON POSS/USE FIREARM PRIOR,31,level_2_or_3,,1
52,POSSESSION OF STOLEN FIREARM,28,level_2_or_3,,1
53,AGG UUW/PERS/UNLOADED/NO FCCA,26,level_4,FOID no CCL,1
54,AGG UPW/VEH/LOADED/FCCA/FOID,25,level_4,FOID and CCL,1
55,AGG BATTERY/PEACE OFFICER,24,,,0
56,AGG UPW/VEH/LOADED/NO FOID,23,level_4,FOID no CCL,1
57,CANNABIS - MFG/DEL - 30-500 GR,21,,,0
58,RECKLESS DISCH FIREARM - ENDAN,21,,,0
59,UUW - UNLAWFUL POSSESS FIREARM,21,level_4,,0
60,AGG UPW/PERSON/LOADED/NO FCCA,20,level_4,FOID no CCL,1
61,ISSUANCE OF WARRANT,20,,,0
62,UUW -  WEAPON - PUB HS/PARK/SC,20,level_4,,1
